,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN
0,287201304,100고지,진촌리-백령면구간,삼청공원-사자바위,8.64,쉬움,152,107
1,301106104,116고지,주산동-추동리 버스승강장구간, ,1.95,쉬움,34,24
2,301105704,133고지,천동구간,관음사,0.17,쉬움,3,2
3,301102904,136고지금성마을,신상동구간, ,0.18,쉬움,3,2
4,301103004,138고지,구도동구간, ,0.19,쉬움,3,2
5,301105804,157고지우송대뒷산,백룡고개-안터어린이공원구간, ,0.28,쉬움,5,3
6,301105904,159고지,삼거리-대전대학교 창업보육센터 건너편구간, ,0.48,쉬움,8,6
7,301103104,162고지가는골뒷산,세천동구간, ,0.19,쉬움,3,2
8,301103204,168고지,이사동구간, ,0.36,쉬움,6,4
9,301106204,175고지,이사동학고개1길-이사동주랭길구간, ,0.44,쉬움,8,5
10,301103304,179고지,소호동구간, ,0.1,쉬움,2,1
11,301103404,201고지,대성동구간, ,0.47,쉬움,8,6
12,301103504,212고지,용운동구간, ,0.11,쉬움,2,1
13,422306704,가곡병풍바위,탕곡리구간, ,0.81,쉬움,17,12
14,438003204,가대리문화마을,가대리구간, ,2.15,쉬움,81,56
15,264400404,가덕도,성북동구간, ,0.03,쉬움,1,0
16,421900101,가덕산,원동구간, ,11.17,쉬움,197,138
17,483100101,가라산,학동리구간, ,1.38,쉬움,41,29
18,482700101,가래봉,감물리구간, ,0.63,쉬움,11,8
19,451100101,가련산,덕진동1가구간, ,0.13,쉬움,2,2
20,427700101,가리왕산,회동리구간, ,3.98,쉬움,70,49
21,441500101,가마봉,봉곡리구간, ,3.24,쉬움,57,40
22,491100504,가마오름,청수리구간, ,0.77,쉬움,14,10
23,491102904,가메오름,금악리구간, ,0.19,쉬움,3,2
24,478500101,가산,학명리구간, ,2.38,쉬움,89,62
25,437700201,가섭산,용산리구간, ,0.71,쉬움,13,9
26,437400101,가성산,공수리구간, ,3.45,쉬움,129,91
27,491300504,가세오름,세화리구간, ,0.52,쉬움,10,7
28,427709304,가수리,광하리구간, ,0.43,쉬움,8,5
29,491300604,가시악,동일리구간, ,0.6,쉬움,11,7
30,461700101,가야산,기능마을구간, ,0.35,쉬움,6,4
31,462300101,가야산,마동구간, ,1.48,쉬움,26,18
32,301103604,가양공원,가양동구간, ,0.18,쉬움,3,2
33,301103704,가오공원,대성동구간, ,0.43,쉬움,8,5
34,431504101,가은산, , ,0.27,쉬움,5,3
35,468701901,가음산,"야월3리,운곡-야월4리,월평구간", ,0.41,중간,9,6
36,447302604,가재산금병산수양산줄기,감성리구간, ,1.85,쉬움,33,23
37,481703201,가좌산,신율리구간, ,0.43,쉬움,8,5
38,317100101,가지산, , ,1.81,쉬움,32,22
39,468000101,가지산,봉덕리구간, ,0.73,쉬움,18,13
40,428105201,가칠봉,진동리구간, ,3.38,쉬움,127,89
41,412100501,가학산, , ,0.13,쉬움,2,2
42,468200201,가학산,당산리구간, ,2.2,쉬움,83,58
43,468302001,가학산,학계리구간, ,3.01,쉬움,113,79
44,468900101,가학산,맹선리구간, ,5.16,쉬움,91,64
45,282600101,가현산, , ,0.1,쉬움,2,1
46,282600904,가현산금곡초,율생리구간, ,11.12,쉬움,209,146
47,413700901,각골산,서동구간, ,0.2,쉬움,4,2
48,482400101,각산, , ,1.14,쉬움,20,14
49,482500101,각성산, , ,0.35,쉬움,6,4
50,491300704,각시바위,호근동구간, ,0.83,쉬움,18,12
51,479204704,각화산,석현리구간, ,2.44,쉬움,43,30
52,479200101,각화산,고선리구간, ,5.38,쉬움,95,66
53,416504501,각흘산,자등리구간, ,0.04,어려움,1,0
54,427803104,각흘산석이바위,도평리구간, ,0.13,쉬움,2,2
55,427700301,각희산, , ,1.81,쉬움,32,22
56,427708901,각히산,토산리구간, ,2.6,쉬움,46,32
57,422300201,간대산,신기리구간, ,1.19,쉬움,21,15
58,428203504,간성수성샘터산림욕장,탑동리구간, ,0.35,중간,8,5
59,317104301,간월산,이천리구간, ,6.04,쉬움,181,127
60,422305401,갈경산,탕곡리구간, ,2.44,쉬움,92,64
61,414300801,갈기산,이목동구간, ,2.89,쉬움,51,36
62,418300101,갈기산,유목정리구간, ,1.86,쉬움,40,28
63,437400201,갈기산,가선리구간, ,3.18,쉬움,56,39
64,468203401,갈두산,송호리구간, ,0.14,쉬움,2,2
65,471700101,갈라산, , ,7.19,쉬움,127,89
66,301102201,갈리봉,낭월동구간, ,0.64,쉬움,11,8
67,468302101,갈마산,삼포리-산정상-삼포리구간, ,2.58,쉬움,46,32
68,488900101,갈마산,성산리구간, ,0.78,쉬움,17,12
69,488200101,갈모봉산,미룡리구간, ,1.23,쉬움,22,15
70,291100101,갈미봉,내남동구간, ,0.39,쉬움,7,5
71,441504301,갈미봉,방문리구간, ,4.07,쉬움,72,50
72,461505301,갈미봉,덕림리구간, ,1.08,쉬움,41,28
73,462300201,갈미봉, , ,4.82,쉬움,85,60
74,471705701,갈미봉, , ,0.3,쉬움,5,4
75,479200201,갈방산,우곡리구간, ,1.86,쉬움,33,23
76,422300104,갈야산,마달동구간, ,1.03,쉬움,18,13
77,428105101,갈전곡봉, , ,1.4,쉬움,25,17
78,428307401,갈전곡봉,갈천리구간, ,2.99,쉬움,53,37
79,488600401,갈전산,향양리구간, ,4.87,쉬움,122,85
80,488806301,갈전산,향양리구간, ,0.83,쉬움,16,11
81,428305404,갈천약수,갈천리구간, ,0.86,쉬움,15,11
82,113800904,갈현근린공원2지구,불광동구간, ,0.16,쉬움,3,2
83,113800804,갈현근린공원,진관동구간, ,0.14,쉬움,2,2
84,301103804,갈현성,용운동구간, ,0.17,쉬움,3,2
85,491300804,감낭오름,동광리구간, ,0.46,쉬움,8,6
86,441504401,감바위산,하대리구간, ,3.98,쉬움,70,49
87,468400101,감방산,해운리구간, ,1.61,쉬움,28,20
88,471305904,감산리,감산리구간, ,1.39,쉬움,25,17
89,414800101,감악산,신암리구간, ,2.73,쉬움,59,41
90,421303001,감악산,황둔리구간, ,2.43,쉬움,43,30
91,431504201,감악산,명암리구간, ,0.7,쉬움,12,9
92,488800101,감악산,무촌리구간, ,0.18,쉬움,3,2
93,431504304,감악산늘목,학산리구간, ,0.17,쉬움,3,2
94,414803004,감악산약수터,늘목리구간, ,5.99,쉬움,225,157
95,488807204,감악산연수사,청용마을-과정리구간, ,2.54,쉬움,95,67
96,488906501,감암산, , ,4.93,쉬움,87,61
97,479200301,감의산,도천리구간, ,2.26,쉬움,42,30
98,488805001,감토산,무릉리구간, ,1.09,쉬움,41,29
99,488805404,감토산숲길,대야리구간, ,0.87,쉬움,22,15
100,451800101,감투봉,능교리구간, ,2.63,쉬움,46,32
101,447702401,감투산,지현리구간, ,0.68,쉬움,12,8
102,428105304,갑둔고개,갑둔리구간, ,3.65,쉬움,64,45
103,413600201,갑산, , ,0.25,쉬움,4,3
104,472500201,갑장산, , ,1.9,쉬움,34,23
105,302000101,갑하산,안산동구간, ,0.86,중간,26,18
106,483100301,강망산,덕포동구간, ,1.36,쉬움,34,24
107,301100101,강바위산,소호동구간, ,0.95,쉬움,17,12
108,421106101,강선봉,강촌리구간, ,1.19,쉬움,36,25
109,488805501,강섭산,장박리구간, ,4.1,쉬움,72,51
110,418200201,강씨봉, , ,0.25,쉬움,4,3
111,457700101,강천산_왕자봉, , ,2.34,쉬움,41,29
112,291400101,개금산,전평제길-순환좌1길구간, ,0.81,쉬움,14,10
113,301100201,개머리산, , ,0.4,쉬움,7,5
114,412801301,개명산,1-2등산로분기점-추모공원입구구간, ,0.2,쉬움,4,2
115,416300201,개명산,벽제동구간, ,0.49,쉬움,9,6
116,491300904,개오름,성읍리구간, ,0.53,쉬움,10,7
117,491301004,개오름굿산망,하원동구간, ,0.3,쉬움,5,4
118,491100303,개오리오름,봉개동구간, ,0.65,쉬움,11,8
119,428100801,개인산,백두대간트레일-아침가리구간, ,8.66,쉬움,325,227
120,428107804,개인산어두원골,광원리구간, ,1.59,쉬움,60,42
121,267100201,개좌산,반송동구간, ,1.67,쉬움,63,44
122,467900101,개천산, , ,0.47,쉬움,8,6
123,115000101,개화산,방화동구간, ,0.14,쉬움,2,2
124,491101303,갯거리오름,명월리구간, ,0.24,쉬움,4,3
125,488200301,거류산, , ,0.41,쉬움,7,5
126,491301104,거린오름,동광리구간, ,0.64,쉬움,11,8
127,282000101,거마산, , ,0.03,쉬움,1,0
128,282000804,거마산장수,"장수동,만의골-거마산정상부구간", ,0.22,쉬움,4,3
129,488800301,거말산,목림이길구간, ,0.44,쉬움,8,5
130,488700101,거망산, , ,0.13,쉬움,2,2
131,282000201,거머리산,만수동구간, ,0.4,쉬움,7,5
132,441300201,거머산,송정2리거산마을입구-송정리거산마을입구구간, ,2.06,쉬움,36,25
133,267100301,거문산,와여리구간, ,0.35,쉬움,6,4
134,427600201,거문산,신리구간, ,1.64,쉬움,29,20
135,491100104,거문오름,선흘리구간, ,3.06,쉬움,54,38
136,437501601,거북산,이월저수지-보덕사절구간, ,0.06,쉬움,1,1
137,487204901,거북산,마쌍리구간, ,2.5,쉬움,44,31
138,428203404,거진해맞이봉산림욕장,거진리구간, ,0.19,쉬움,3,2
139,491103004,거친오름,봉개동구간, ,0.28,쉬움,5,3
140,421300301,건등산, , ,0.5,쉬움,9,6
141,478500201,건령산,심천리구간, ,3.06,쉬움,77,54
142,469000101,건배산,녹진리구간, ,1.14,쉬움,20,14
143,428200301,건봉산,광산리구간, ,6.18,쉬움,109,76
144,421903004,건의령,점리구간, ,6.26,쉬움,110,77
145,414600201,건지산,해월리구간, ,2.4,쉬움,45,32
146,441500201,건지산,초봉리구간, ,0.98,쉬움,18,13
147,447700101,건지산,지현리구간, ,0.2,쉬움,4,2
148,451100301,건지산,덕진동1가구간, ,0.04,쉬움,1,0
149,471700201,건지산,단천리구간, ,1.96,쉬움,74,51
150,488800401,건흥산,1코스구간, ,0.11,쉬움,2,1
151,491101803,걸쇠오름,연동구간, ,0.91,쉬움,16,11
152,413603404,검단리고개,수산리구간, ,1.51,쉬움,27,19
153,414500201,검단산,창우동구간, ,0.04,쉬움,1,0
154,416100201,검단산,산성리구간, ,5.18,쉬움,97,68
155,487300201,검단산, , ,0.29,쉬움,5,4
156,468702001,검덕산,양덕리-정상부탑구간, ,0.54,쉬움,10,7
157,477600101,검마산,검마산자연휴양림매표소구간,검마산휴양림관리사무소 ~ 원점회귀,1.63,쉬움,61,43
158,488600701,검무봉,묵곡리구간, ,1.2,쉬움,21,15
159,421100201,검봉산,백양리구간, ,1.51,쉬움,57,40
160,422300401,검봉산,임원리구간, ,0.87,쉬움,16,11
161,413603301,검암산,갈매동구간, ,0.32,쉬움,6,4
162,491100604,검은덕이오름,소길리구간, ,0.81,쉬움,14,10
163,491101403,검은들먹오름,상가리구간, ,2.65,쉬움,47,33
164,491103104,검은오름,연동구간, ,0.22,쉬움,4,3
165,431105201,것대산,율량동구간, ,0.29,쉬움,5,4
166,451900101,견두산,호곡리구간, ,4.55,쉬움,171,119
167,467300201,견두산,고달리구간, ,0.57,쉬움,10,7
168,428305501,견불리산,견불리구간, ,6.29,쉬움,111,78
169,441504501,견준산,금학동구간, ,0.14,쉬움,2,2
170,457100101,경각산,월성리구간, ,1.88,쉬움,71,49
171,478500301,경마산,성곡리구간, ,0.81,쉬움,14,10
172,415500101,경수산,북가현리구간, ,1.09,쉬움,27,19
173,282001401,경신산,구월동630번지-수산동 산12번지구간, ,0.25,쉬움,4,3
174,457104101,경옥봉,대아리구간, ,1.67,쉬움,29,21
175,482500201,경운산,외동구간,내외 한신@ ~ 삼계동,0.5,쉬움,9,6
176,472505004,경천대,삼덕리구간, ,0.17,쉬움,3,2
177,421507301,경포대시루봉,안현동구간, ,0.84,쉬움,15,10
178,483100401,계룡산,고현동구간, ,0.54,쉬움,10,7
179,431300101,계명산,마즈막재구간, ,1.34,쉬움,24,17
180,471700401,계명산, , ,1.21,쉬움,26,18
181,427206801,계방산,노동리구간, ,4.54,쉬움,170,119
182,427709401,계봉,애산리구간, ,0.1,쉬움,2,1
183,447900101,계봉산,해남리구간, ,0.92,쉬움,20,14
