,pos,neg,senti_score,label
0,4,2,2,1.0
1,9,2,7,1.0
2,6,0,6,1.0
3,12,16,-4,0.0
4,33,16,17,1.0
5,5,2,3,1.0
6,2,1,1,1.0
7,20,33,-13,0.0
8,8,2,6,1.0
9,2,4,-2,0.0
10,32,24,8,1.0
11,9,5,4,1.0
12,8,11,-3,0.0
13,1,1,0,1.0
14,4,3,1,1.0
15,15,9,6,1.0
16,8,6,2,1.0
17,4,2,2,1.0
18,9,16,-7,0.0
19,4,0,4,1.0
20,7,6,1,1.0
21,6,5,1,1.0
22,3,1,2,1.0
23,4,6,-2,0.0
24,0,0,0,1.0
25,6,3,3,1.0
26,0,0,0,1.0
27,7,11,-4,0.0
28,15,19,-4,0.0
29,7,10,-3,0.0
30,5,11,-6,0.0
31,3,2,1,1.0
32,23,20,3,1.0
33,3,2,1,1.0
34,5,8,-3,0.0
35,2,3,-1,0.0
36,10,3,7,1.0
37,15,12,3,1.0
38,19,23,-4,0.0
39,3,1,2,1.0
40,3,0,3,1.0
41,0,0,0,1.0
42,21,20,1,1.0
43,2,5,-3,0.0
44,16,9,7,1.0
45,1,0,1,1.0
46,23,19,4,1.0
47,1,0,1,1.0
48,8,3,5,1.0
49,3,1,2,1.0
50,3,3,0,1.0
51,4,1,3,1.0
52,7,2,5,1.0
53,3,5,-2,0.0
54,12,8,4,1.0
55,2,2,0,1.0
56,3,2,1,1.0
57,1,1,0,1.0
58,0,0,0,1.0
59,5,2,3,1.0
60,11,7,4,1.0
61,4,5,-1,0.0
62,4,1,3,1.0
63,9,11,-2,0.0
64,6,4,2,1.0
65,8,17,-9,0.0
66,4,4,0,1.0
67,5,6,-1,0.0
68,9,12,-3,0.0
69,3,0,3,1.0
70,6,9,-3,0.0
71,6,10,-4,0.0
72,11,18,-7,0.0
73,1,1,0,1.0
74,20,20,0,1.0
75,3,3,0,1.0
76,0,1,-1,0.0
77,15,12,3,1.0
78,7,10,-3,0.0
79,18,19,-1,0.0
80,14,9,5,1.0
81,5,3,2,1.0
82,2,2,0,1.0
83,17,15,2,1.0
84,3,1,2,1.0
85,2,3,-1,0.0
86,2,14,-12,0.0
87,5,4,1,1.0
88,5,5,0,1.0
89,5,1,4,1.0
90,2,1,1,1.0
91,7,7,0,1.0
92,12,8,4,1.0
93,1,1,0,1.0
94,11,7,4,1.0
95,7,2,5,1.0
96,13,21,-8,0.0
97,16,26,-10,0.0
98,1,3,-2,0.0
99,1,0,1,1.0
100,4,9,-5,0.0
101,5,1,4,1.0
102,5,7,-2,0.0
103,2,3,-1,0.0
104,7,6,1,1.0
105,16,12,4,1.0
106,2,1,1,1.0
107,11,10,1,1.0
108,2,1,1,1.0
109,1,1,0,1.0
110,39,22,17,1.0
111,7,6,1,1.0
112,1,0,1,1.0
113,3,1,2,1.0
114,33,47,-14,0.0
115,0,0,0,1.0
116,11,7,4,1.0
117,3,4,-1,0.0
118,0,0,0,1.0
119,7,1,6,1.0
120,4,0,4,1.0
121,11,5,6,1.0
122,10,17,-7,0.0
123,4,2,2,1.0
124,3,4,-1,0.0
125,18,14,4,1.0
126,7,14,-7,0.0
127,6,4,2,1.0
128,3,4,-1,0.0
129,11,11,0,1.0
130,9,9,0,1.0
131,2,2,0,1.0
132,3,0,3,1.0
133,7,3,4,1.0
134,7,3,4,1.0
135,5,3,2,1.0
136,10,15,-5,0.0
137,7,4,3,1.0
138,16,21,-5,0.0
139,20,7,13,1.0
140,0,3,-3,0.0
141,7,7,0,1.0
